doc_id,title,chunk_id,text
MA002,MA Crash Operator Report Form (PDF),MA002_C006,"Yes Yes Yes PM DM H (Hazardous) 1 Passenger car 2 Light truck (van, mini-van, pick-up, sport utility) 3 Motorcycle 9 Truck tractor (bobtail) 10 Tractor/semi-trailer 11 Tractor/doubles 12 Tractor/triples 13 Unknown heavy truck 14 Motor home/ recreational vehicle 15 Moped 16 Low Speed Vehicle 4 Bus (16 or more passengers) 5 Bus (9-15 passengers) 6 Single-unit truck (2 axles) 7 Single-unit truck (3 or more axles) 8 Truck/trailer 3 Turning right 4 Turning left 5 Changing lanes 6 Entering traffic lane 7 Leaving traffic lane 8 Making U-turn 9 Overtaking/passing 10 Backing 11 Parked 97 Other 99 Unknown 1 Travelling straight ahead 2 Slowing or stopped T (Doubles/Triples) S School BusN (Tank vehicles) P (Passenger transport) Route# Route# Route# Name of Roadway/Street The crash occurred on Route #: on the Street/Roadway known as The crash occurred (estimate number of feet) (indicate direction as "
MA002,MA Crash Operator Report Form (PDF),MA002_C007,"e of Roadway/Street The crash occurred on Route #: on the Street/Roadway known as The crash occurred (estimate number of feet) (indicate direction as N/S/E/W) of: at Street or Address Number: Name of Roadway/Street Name of Roadway/Street X (Tank and Hazardous) AX No No No B. Vehicle You Were Driving B1. Number of occupants in vehicle (including yourself): B3. Driver’s License Number B4. License State B5. DOB B6. Age B7. Sex B8. License Class B2. Was vehicle damage above $1000? B20. Full Name of Vehicle Owner (Last, First, Middle) B24. Was your Vehicle Towed from the Scene Due to Damage? B10. Vehicle Travel Direction B11. Your Full Name (Last, First, Middle) B9. Commercial Driver’s License Endorsements B21. Street Address B25. Vehicle Damaged Area (check up to three) 0 None 10 Undercarriage 11 Totaled B12. Street Address B13. Insurance Company B23. Please Indicate the Sequence of Events a"
MA002,MA Crash Operator Report Form (PDF),MA002_C008,"d Area (check up to three) 0 None 10 Undercarriage 11 Totaled B12. Street Address B13. Insurance Company B23. Please Indicate the Sequence of Events as they occurred to YOUR Vehicle by writing the corresponding number (1-52, or 97, 99) in up to 4 boxes below. B19. Indicate your type of vehicle B22. What Was Your Vehicle Doing Prior to the Crash? B14. Vehicle Registration # What happened first? Collision with Non-Collision Motor vehicle in traffic Parked motor vehicle Pedestrian Cyclist Animal- deer Animal- other Moped Work zone maintenance equipment Ran off road right Ran off road left Cross median/ centerline Overturn/rollover Equipment failure (blown tire, brakes, etc) Fire/explosion Immersion Second? Third? Fourth? B15. Reg. Type B16. Reg. State B17. Vehicle Year B18. Vehicle Make City City State State Zip Code Zip Code Railway vehicle (train, engine) Other movable object Unknown mova"
MA002,MA Crash Operator Report Form (PDF),MA002_C009,"g. State B17. Vehicle Year B18. Vehicle Make City City State State Zip Code Zip Code Railway vehicle (train, engine) Other movable object Unknown movable object Curb Tree Utility pole Light pole or other post/support Guardrail Median barrier Ditch Embankment/ Sloping shoulder Highway traffic signpost Overhead sign support Fence Mailbox Crash cushion/ Impact attenuator Bridge Bridge overhead structure Other fixed object (wall, building, tunnel) Unknown fixed object Jackknife Cargo/equipment loss or shift Separation of units Downhill runaway Other non-collision Unknown non-collision Other Unknown 9 jh 10 11 jh 20 21 22 23 jh 24 25 26 27 jh 28 jh 29 jh 30 31 40 41 42 jh 43 44 jh jh 45 46 47 48 jh 49 50 51 52 97 99 32 jh 33 34 jh 35 jh jh 36 Route# Name of Roadway/Street OR: d) Landmark OR: c) Intersecting Street/Roadway OR: b) Exit Number 97 Other 99 Unknown 17 All terrain vehicle( ATV) 18 "
MA002,MA Crash Operator Report Form (PDF),MA002_C010,"ute# Name of Roadway/Street OR: d) Landmark OR: c) Intersecting Street/Roadway OR: b) Exit Number 97 Other 99 Unknown 17 All terrain vehicle( ATV) 18 Snowmobile 97 Other 99 Unknown CRASH102_0124 C. You and Your Passengers C1. Passenger 1 (Last, First, Middle) Driver C5. Passenger 2 (Last, First, Middle) Passenger 1 C9. Passenger 3 (Last, First, Middle) Front seat - left side (or motorcycle driver) Front seat - middle Front seat - right side Second seat - left side (or motorcycle passenger) Second seat - middle Second seat - right side Third row - left side (or motorcycle passenger) 1 k 2 3 4 k 5 6 7 0 1 2 3 4 5 97 0 1 2 0 1 k 1 2 1 2 3 k 4 5 97 1 7 8 9 10 None used Shoulder and lap belt Lap belt only Shoulder belt only Child safety seat Helmet Unknown Deployed-front Deployed-side Deployed both front and side Not deployed Not applicable Unknown Not ejected Totally ejected Partially ejecte"
MA002,MA Crash Operator Report Form (PDF),MA002_C011,"met Unknown Deployed-front Deployed-side Deployed both front and side Not deployed Not applicable Unknown Not ejected Totally ejected Partially ejected Not trapped Freed by mechanical means Fatal Suspected serious injury Suspected minor injury Possible Injury No apparent injury Not transported EMS (emergency service) Passenger 2 Passenger 3 Seating Position Safety System Used Air Bag Status Ejected From Vehicle? Trapped? Injured? Transported for Medical Care? Please provide the full name, address, and DOB or Age for all passengers in your vehicle. Then write the corresponding code in each of the boxes for each occupant of the vehicle (yourself and all passengers). A list of the possible codes is provided at the bottom of this section. C3. DOB C7. DOB C11. DOB C4. Sex C8. Sex C12. Sex Name of Medical Facility 1 59 2 43 78 6 E WN S Yes Yes Yes H (Hazardous) 5 Changing lanes 6 Entering traf"
MA002,MA Crash Operator Report Form (PDF),MA002_C012,"OB C7. DOB C11. DOB C4. Sex C8. Sex C12. Sex Name of Medical Facility 1 59 2 43 78 6 E WN S Yes Yes Yes H (Hazardous) 5 Changing lanes 6 Entering traffic lane 7 Leaving traffic lane 8 Making U-turn 9 Overtaking/passing 10 Backing 11 Parked 97 Other 99 Unknown 1 Travelling straight ahead 2 Slowing or stopped 3 Turning right 4 Turning left T (Doubles/Triples) S School BusN (Tank vehicles) P (Passenger transport) X (Tank and Hazardous) No No No D. Other Vehicle(s) Involved in the Crash D1. Number of occupants in the Vehicle: D2. Number of injured occupants D3. Was Vehicle Damage above $1000? D4. Moped? D5. Hit and Run? D23. Full Name of Vehicle Owner (Last, First, Middle) D13. Vehicle Travel Direction D14. Name of Vehicle Driver (Last, First, Middle) D12. Commercial Driver’s License Endorsements D24. Street Address D26. Vehicle Damaged Area (check up to three) 0 None 10 Undercarriage 11 Tot"
MA002,MA Crash Operator Report Form (PDF),MA002_C013,Middle) D12. Commercial Driver’s License Endorsements D24. Street Address D26. Vehicle Damaged Area (check up to three) 0 None 10 Undercarriage 11 Totaled 97 Other 99 Unknown D15. Street Address D16. Insurance Company D25. What Was Your Vehicle Doing Prior to the Crash? D17. Vehicle Registration # D18. Reg. Type D19. Reg. State D20. Vehicle Year D21. Vehicle Make City City State State Zip Code Zip Code C2. Address C6. Address C10. Address City City City State State State Zip Code Zip Code Zip Code Seating Position Safety System Used Air Bag Status Ejected From Vehicle? Trapped? Transported for Medical Care?Injured? Third row - middle Third row - right side Sleeper section of cab Enclosed passenger area Unenclosed passenger area Trailing unit Riding on vehicle exterior Other Unknown 8 9 10 11 12 13 14 97 99 Police Other Unknown 3 97 99 Freed by non-mechanical means Unknown 2 k d 97 Not ap
MA002,MA Crash Operator Report Form (PDF),MA002_C014,"t Riding on vehicle exterior Other Unknown 8 9 10 11 12 13 14 97 99 Police Other Unknown 3 97 99 Freed by non-mechanical means Unknown 2 k d 97 Not applicable Unknown 3 k 97 MU C BF Unknown DM AXD6. Driver’s License Number D7. License State D8. DOB D9. Age D10. Sex D11. License Class 1 Passenger car 2 Light truck (van, mini-van, pick-up, sport utility) 3 Motorcycle 9 Truck tractor (bobtail) 10 Tractor/semi-trailer 11 Tractor/doubles 12 Tractor/triples 13 Unknown heavy truck 14 Motor home/ recreational vehicle 15 Moped 16 Low Speed Vehicle 4 Bus (16 or more passengers) 5 Bus (9-15 passengers) 6 Single-unit truck (2 axles) 7 Single-unit truck (3 or more axles) 8 Truck/trailer D22. Indicate your type of vehicle 17 All terrain vehicle( ATV) 18 Snowmobile 97 Other 99 Unknown CRASH102_0124 1 Pedestrian 2 Cyclist 3 Skater 97 Other 99 Unknown E. Non-Motorist(s) Involved in the Crash F. Crash Con"
MA002,MA Crash Operator Report Form (PDF),MA002_C015,"Snowmobile 97 Other 99 Unknown CRASH102_0124 1 Pedestrian 2 Cyclist 3 Skater 97 Other 99 Unknown E. Non-Motorist(s) Involved in the Crash F. Crash Conditions G. Crash Diagram E1. Indicate the type of non-motorist involved 1 jh 2 jh 3 1 \2 3 4 G 5 G 6 G 1 \2 3 4 99 1 \2 3 4 G 5 1 \2 3 4 5 6 1 \2 3 4 5 G G 6 1 \2 3 4 5 6 7 8 99 1 \2 3 4 5 6 7 97 99 0 6 7 jh E2. What was the non-motorist doing prior to the crash? F1. Light Conditions F5. Trafficway Description F6. Manner of Collision F7. Roadway Intersection Type F2. Weather Conditions (up to two) F3. Traffic Control Device F4. Road Surface E8. Safety Equipment? E3. Where was the non-motorist prior to the crash? E9. Injured? Entering or crossing location Walking, running, or cycling Working Daylight Dawn Dusk Dark - lighted roadway Dark - roadway not lighted Dark - unknown roadway lighting Two-way, not divided Two-way, divided, unprotected "
MA002,MA Crash Operator Report Form (PDF),MA002_C016,"ylight Dawn Dusk Dark - lighted roadway Dark - roadway not lighted Dark - unknown roadway lighting Two-way, not divided Two-way, divided, unprotected median Two-way, divided, protected median One-way, not divided Unknown Please draw a diagram of the roadway or streets where the crash occurred, indicating the vehicles involved and direction of travel using the following symbols: Direction = Vehicle 1 (Your Vehicle) = Vehicle 2 = Pedestrian/Non-motorist = North Select one of the following if the crash did not occur on a public way: Off-street parking lot Garage Mall/shopping center Other private way Single vehicle crash Rear-end Angle Sideswipe, same direction Sideswipe, opposite direction Not at intersection Four-way intersection T-intersection Y-intersection On ramp Off ramp Clear Cloudy Rain Snow Sleet, hail, freezing rain Fog, smog, smoke No controls Stop signs Traffic control signal F"
MA002,MA Crash Operator Report Form (PDF),MA002_C017,"ion Y-intersection On ramp Off ramp Clear Cloudy Rain Snow Sleet, hail, freezing rain Fog, smog, smoke No controls Stop signs Traffic control signal Flashing traffic control signal Yield signs School zone signs Warning signs Railroad crossing device Unknown Dry Wet Snow Ice Sand, mud, dirt, oil, gravel Water (standing, moving) Slush Other Unknown None used Helmet Protective pads (elbows, knees, etc.) Pushing vehicle Approaching or leaving vehicle Working on vehicle Standing Reflective clothing Lighting Other Unknown 4 5 jh 6 7 8 9 10 99 1 jh 2 jh 3 Marked crosswalk at intersection At intersection but no crosswalk Non-intersection crosswalk In roadway Not in roadway Median (but not on shoulder) Island Shoulder Sidewalk Shared-use path or trails Unknown 4 5 6 jh 7 8 9 10 jh 99 Other Unknown 97 99 E4. Full Name of Non-Motorist (Last, First, Middle) F8. Was the traffic control device functio"
MA002,MA Crash Operator Report Form (PDF),MA002_C018,"ils Unknown 4 5 6 jh 7 8 9 10 jh 99 Other Unknown 97 99 E4. Full Name of Non-Motorist (Last, First, Middle) F8. Was the traffic control device functioning at the time of the crash? F9. School Bus Related? Indicate North by Arrow F10. Work Zone Related? E5. Street Address City State Zip Code E11. If transported, please indicate Hospital/Medical Facility: E6. DOB E7. Sex 1 2 Not transported EMS (emergency service) E10. Transported for Medical Care? Police Other Unknown 3 97 99Yes Yes YesNo No No Traffic circle Five-point or more Driveway Railway grade crossing Unknown 7 8 9 10 G 99 Severe crosswinds Blowing sand, snow Other Unknown 7 G 8 G 97 99 Other Unknown 97 99 Head on Rear to rear Unknown 6 7 99 1 2 1 7 Fatal Suspected serious injury Suspected minor injury Possible Injury 8 g 9 CRASH102_0124 No apparent injury 10 H1. Witness Name (Last, First, Middle) I1. Owner Name (Last, First, Midd"
MA002,MA Crash Operator Report Form (PDF),MA002_C019,"pected minor injury Possible Injury 8 g 9 CRASH102_0124 No apparent injury 10 H1. Witness Name (Last, First, Middle) I1. Owner Name (Last, First, Middle) H4. Witness Name (Last, First, Middle) I5. Owner Name (Last, First, Middle) H2. Street Address I2. Street Address H5. Street Address I6. Street Address City City State State Zip Code Zip Code H3. Phone I3. Phone I4. Property and Damage Description H6. Phone I7. Phone I8. Property and Damage Description H. Witness Information I. Property Damage Information (Other than Vehicles) J. Description of What Happened K. Signature “Signed under Pains and Penalties of Perjury” Print Date CRASH102_0124"
MA002,MA Crash Operator Report Form (PDF),MA002_C020, Information (Other than Vehicles) J. Description of What Happened K. Signature “Signed under Pains and Penalties of Perjury” Print Date CRASH102_0124
MA003,MA DMV Crash Report FAQs,MA003_C000,"HOME |FAQ FAQs Frequently Asked Questions Below you will find information that might help you understand how to find things or learn about information you might need to know about your city or town. Search and discover questions FAQs9 All Content Copies of records can be obtained in person at the Records Division of the Braintree Police Department during normal business hours. Business hours are Monday through Friday, 9 a.m. until 4 p.m. The Records Division is located in the front lobby of the Police Station at 282 Union Street. When you enter the front door the window to Records will be on your right. Records requests can also be made via mail or email. See the Police Contact List page for the email address to Records Division clerks or contact the Records Division at 781-794-8611 for further details. FAQs How do I obtain a copy of an accident, arrest or incident report? For emergencie"
MA003,MA DMV Crash Report FAQs,MA003_C001,"ontact the Records Division at 781-794-8611 for further details. FAQs How do I obtain a copy of an accident, arrest or incident report? For emergencies call 911. For non-emergency crime or suspicious activity that you'd like to report, call the Braintree Police Department at 781-794- 8601 and you will be guided through the menu options. To reach a dispatcher press ""zero"". Please do not report crimes through our social media pages as they are not monitored 24/7. FAQs What's the best way to report a crime? If you are involved in a motor vehicle crash, and someone was injured or there was over $1,000 of damage to either a vehicle or property, you are required to file a Motor Vehicle Crash Report to the Registry of Motor Vehicles (RMV) with a copy to the police department in which the accident occurred. Accident reports must be filed within 5 days. FAQs When do I have to submit a motor vehic"
MA003,MA DMV Crash Report FAQs,MA003_C002,"opy to the police department in which the accident occurred. Accident reports must be filed within 5 days. FAQs When do I have to submit a motor vehicle crash report to the Registry of Motor Vehicles? Residents of the Town of Braintree can apply for a firearm license from the Chief of Police. Firearm Licensing is handled by Officer Brendan Mclaughlin. You may contact Brendan Mclaughlin with any questions. Applications are available in the Records Division or online. FAQs How do I obtain a license to carry a firearm (LTC) for a firearms identification card (FID)? Yes, Text2911 is now available in Massachusetts. When a cell phone sends a text message to ""911"", it is received and handled by the local police department based on your cellphone's current GPS. In instances where your location cannot be determined, the text will be sent to the Massachusetts State Police. State Police call handle"
MA003,MA DMV Crash Report FAQs,MA003_C003," current GPS. In instances where your location cannot be determined, the text will be sent to the Massachusetts State Police. State Police call handlers will determine your location and transfer your message directly to the appropriate police agency. FAQs Can I text 911 from a cellular telephone? The Braintree Police Department is committed to making our roads safe. For something ""in progress"", please call in the complaint to dispatch. For general traffic concerns, please Email Traffic Sgt Brian Jenkins or report your concern via the Town of Braintree's See Click Fix online reporting tool. FAQs How do I make the police department aware of a traffic concern (speeders, illegal passing) that happens on my street? If you have a problem with noise from a neighbor, you may call the Braintree Police Department at 781-794-8601 or 781-794-8602 for a police officer to respond to the location of th"
MA003,MA DMV Crash Report FAQs,MA003_C004,"se from a neighbor, you may call the Braintree Police Department at 781-794-8601 or 781-794-8602 for a police officer to respond to the location of the noise. The responding officer has some discretion in how to deal with the noise complaint. FAQs How can the police department help me address an issue with my neighbor? You can go to the Braintree Police Department and request information. You must be at least 18 years of age, present a valid form of identification and complete a Sex Offender Information Request Form. You will be provided with a dissemination sheet regarding Level 2 and Level 3 Sex Offenders. Level 1 offender information is not made available to the public and they are only required to register once a year via the mail to the Sex Offender Registry Board. The Braintree Police Department does have information on all Level 1 Sex Offenders that work or live in Braintree. FAQs"
MA003,MA DMV Crash Report FAQs,MA003_C005,"e Sex Offender Registry Board. The Braintree Police Department does have information on all Level 1 Sex Offenders that work or live in Braintree. FAQs How can I find out if a sex offender is living in my neighborhood? Sex offenders are categorized into three levels. Level 1 is a low risk to reoffend Level 2 is a moderate risk to reoffend Level 3 is a high risk to reoffend FAQs What are the different levels of sex offenders? FAQs 9 SUBMIT A TIP Anonymous tip form DEPARTMENT DIRECTORY Contact us POLICE LOG Browse the log FORMS/REPORTS View and download CRIME MAP Search recent crime reports DIRECTIONS Visit BPD headquarters CONTACT US Braintree Police Department 282 Union Street Braintree, MA 02184 EMERGENCY: DIAL 911 Non-Emergency: 781-843-1212 QUICK LINKS Town of Braintree Braintree Fire Local 920 Braintree Public Schools See Something - Say Something Federal Trade Commission - Consumer I"
MA003,MA DMV Crash Report FAQs,MA003_C006,"12 QUICK LINKS Town of Braintree Braintree Fire Local 920 Braintree Public Schools See Something - Say Something Federal Trade Commission - Consumer Information Massachusetts General Laws Massachusetts Most Wanted Massachusetts Office for Victim Assistance (MOVA) HELPFUL LINKS Home Site Map Contact Us Accessibility Copyright Notices Privacy Policy Government Websites by CivicPlus® Search... Search YOUR BPD PROGRAMS & SERVICES PRESS & MEDIA HOW DO I Create a Website Account - Manage notification subscriptions, save form progress and more. Website Sign In"
MA003,MA DMV Crash Report FAQs,MA003_C007," PROGRAMS & SERVICES PRESS & MEDIA HOW DO I Create a Website Account - Manage notification subscriptions, save form progress and more. Website Sign In"
MA004,What to Do After Car Accident in MA,MA004_C000,"Get a summary in: CHATGPT PERPLEXITY CLAUDE GOOGLE AI MODE GROK The first thing to do after a car accident in Massachusetts is to ensure your safety and minimize the risk of further harm. If possible, attend to others involved in the incident and ensure they are safe. After that, you should report the crash to 911 and wait for the first responders to arrive. Let the medics assess your condition and exchange contact and insurance information with other parties. If your condition allows it, take pictures of the scene of the accident and gather witness statements and other potential pieces of evidence. Don’t forget to report the incident and fulfill your legal obligations. Seek legal assistance even if the collision seems insignificant. Critical Steps to Take After a Car Accident A car accident is often a stressful and perhaps even traumatic event. It can be overwhelming and confusing. You "
MA004,What to Do After Car Accident in MA,MA004_C001,"al Steps to Take After a Car Accident A car accident is often a stressful and perhaps even traumatic event. It can be overwhelming and confusing. You might need help with properly documenting the scene of the accident and working with the police on an accident report. It is also natural to worry that your insurance company may not cover the full costs of your injuries. Law enforcement officers may not understand what caused the accident in the first place. However, knowing what to do in the moments, days, and weeks after the accident can go a long way in aiding your recovery and also helping to ensure you receive proper compensation for the vehicle damage caused by the car accident. For these reasons, one of the best things you can do is find a reputable Massachusetts car accident lawyer. Michael Kelly Injury Lawyers can help you manage the claims process and achieve justice. Follow this"
MA004,What to Do After Car Accident in MA,MA004_C002,"nd a reputable Massachusetts car accident lawyer. Michael Kelly Injury Lawyers can help you manage the claims process and achieve justice. Follow this car accident checklist for the best results. Ensure Safety After a Car Accident in Massachusetts After a car accident, your immediate priority should be to get yourself and any passengers involved to a safe location. If your motor vehicle is drivable, move it to the side of the road or another safe area away from traffic. Turn on your hazard lights — this way, you can prevent further damage and alert other drivers about the situation. Always be aware and cautious of your surroundings. Under no circumstances should you stand in the path of oncoming traffic while assessing the situation. Your safety and well-being must remain a top priority before addressing any other concerns. Call 911 and Report the Accident Immediately Calling 911 immedia"
MA004,What to Do After Car Accident in MA,MA004_C003,"afety and well-being must remain a top priority before addressing any other concerns. Call 911 and Report the Accident Immediately Calling 911 immediately after a Boston car accident will help make sure that law enforcement officially documents the incident. Even if the accident seems minor, having a police report can be super important, especially if you are not at fault. The report provides an unbiased account of the scene, which can be key evidence when filing a car accident claim or if you need to prove the legal liability of other parties. Additionally, a police report can help simplify the claims process with your insurance company. Exchange Insurance and Contact Information Although the police are responsible for compiling an accident report, they may miss some crucial details, especially in serious car accidents, where emergency services and safety are the top priorities. That’s "
MA004,What to Do After Car Accident in MA,MA004_C004,"t report, they may miss some crucial details, especially in serious car accidents, where emergency services and safety are the top priorities. That’s why you should try to gather information on your own to secure your insurance claim. You should also copy down some identifying information about the other vehicle involved in the accident. Here’s a list of important details to note: Don’t Admit Fault Even if you believe you may have been the cause of the car accident, refrain from making statements regarding liability until you have had an opportunity to collect yourself. Some people will inadvertently state that they are sorry for causing the incident, although it was not their fault. Admitting fault for an auto accident, especially to the other driver or drivers involved, can complicate things greatly. Seek Medical Attention Many car accident injuries, such as whiplash or concussions, do"
MA004,What to Do After Car Accident in MA,MA004_C005,"ther driver or drivers involved, can complicate things greatly. Seek Medical Attention Many car accident injuries, such as whiplash or concussions, don’t show symptoms right away. Even if you feel fine, visit a doctor promptly. Medical documentation not only protects your health but also strengthens your case. If you experience pain and/or discomfort right away or in the days and weeks following the accident, consult your primary care physician for an evaluation immediately. It’s not a bad idea to contact your doctor, even if you’re not showing immediate signs of injury. A medical professional can guide you on the best next steps. Documenting your injuries is crucial when submitting the case for settlement or presenting it to a jury. Take Pictures of Your Injuries Immediately When considering what to do after a car accident in Massachusetts, you must document any injuries as soon as poss"
MA004,What to Do After Car Accident in MA,MA004_C006,"ictures of Your Injuries Immediately When considering what to do after a car accident in Massachusetts, you must document any injuries as soon as possible. Clear, detailed photos can provide solid evidence of the harm you sustained during the accident. When dealing with the insurance company, these images help prove the severity of your injuries and support your claim. Here’s what you may want to capture to solidify your case: Make sure to depict these pieces of evidence from different angles and ranges. If you’re unable to take photos yourself, ask a friend or family member to assist you. Attorneys are often able to significantly increase the actual cash value of a case with the aid of pictures taken immediately after an accident. Write Down Accident Details for Legal Reference Be sure to take notes on as much as you remember from the incident as possible. Write down all the things ment"
